ds,item id,ingredient,y
2015-04-30,851234006194-AL,Colombia,11.64
2015-05-12,851234006194-AL,Colombia,1.94
2015-05-21,851234006194-AL,Colombia,1.94
2015-06-24,851234006194-AL,Colombia,21.34
2015-06-24,851234006194-AL,Colombia,42.68
2015-06-25,851234006194-AL,Colombia,32.98
2015-07-17,851234006194-AL,Colombia,1.94
2015-08-13,851234006194-AL,Colombia,1.94
2015-08-26,851234006364-AL,Colombia,75.25
2015-08-28,851234006364-AL,Colombia,2.15
2015-08-28,851234006194-AL,Colombia,1.94
2015-08-28,851234006364-AL,Colombia,6.449999999999999
2015-10-09,851234006194-AL,Colombia,1.94
2015-10-16,851234006364-AL,Colombia,4.3
2015-10-16,851234006194-AL,Colombia,1.94
2015-10-23,851234006364-AL,Colombia,6.449999999999999
2015-10-30,851234006364-AL,Colombia,2.15
2015-10-30,851234006364-AL,Colombia,2.15
2015-11-12,851234006364-AL,Colombia,4.3
2015-11-12,851234006364-AL,Colombia,6.449999999999999
2015-11-13,851234006364-AL,Colombia,21.5
2015-11-18,851234006364-AL,Colombia,17.2
2015-11-18,851234006364-AL,Colombia,15.049999999999999
2015-11-20,851234006364-AL,Colombia,2.15
2015-11-20,851234006364-AL,Colombia,4.3
2015-11-24,851234006364-AL,Colombia,12.899999999999999
2015-11-25,851234006364-AL,Colombia,6.449999999999999
2015-11-25,851234006364-AL,Colombia,2.15
2015-11-25,851234006364-AL,Colombia,12.899999999999999
2015-11-25,851234006364-AL,Colombia,10.75
2015-11-30,851234006364-AL,Colombia,2.15
2015-11-30,851234006364-AL,Colombia,15.049999999999999
2015-11-30,851234006364-AL,Colombia,10.75
2015-12-08,851234006364-AL,Colombia,6.449999999999999
2015-12-09,851234006364-AL,Colombia,6.449999999999999
2015-12-09,851234006364-AL,Colombia,23.65
2015-12-09,851234006364-AL,Colombia,12.899999999999999
2015-12-10,851234006364-AL,Colombia,8.6
2015-12-11,851234006364-AL,Colombia,2.15
2015-12-14,851234006364-AL,Colombia,4.3
2015-12-14,851234006364-AL,Colombia,2.15
2015-12-17,851234006194-AL,Colombia,11.64
2015-12-18,851234006194-AL,Colombia,11.64
2015-12-31,851234006364-AL,Colombia,2.15
2015-12-31,851234006364-AL,Colombia,2.15
2016-01-05,851234006364-AL,Colombia,2.15
2016-01-08,851234006364-AL,Colombia,2.15
2016-01-13,851234006364-AL,Colombia,8.6
2016-01-18,851234006364-AL,Colombia,4.3
2016-01-19,851234006364-AL,Colombia,2.15
2016-01-20,851234006364-AL,Colombia,2.15
2016-01-21,851234006364-AL,Colombia,4.3
2016-01-21,851234006364-AL,Colombia,2.15
2016-01-26,851234006364-AL,Colombia,2.15
2016-01-26,851234006364-AL,Colombia,4.3
2016-01-28,851234006364-AL,Colombia,2.15
2016-01-29,851234006364-AL,Colombia,4.3
2016-01-31,851234006364-AL,Colombia,2.15
2016-02-02,851234006364-AL,Colombia,2.15
2016-02-03,851234006364-AL,Colombia,4.3
2016-02-04,851234006364-AL,Colombia,2.15
2016-02-05,851234006364-AL,Colombia,10.75
2016-02-17,851234006364-AL,Colombia,8.6
2016-02-18,851234006364-AL,Colombia,2.15
2016-02-18,851234006364-AL,Colombia,4.3
2016-02-19,851234006364-AL,Colombia,6.449999999999999
2016-02-23,851234006364-AL,Colombia,12.899999999999999
2016-02-26,851234006364-AL,Colombia,8.6
2016-02-29,851234006364-AL,Colombia,4.3
2016-03-02,851234006364-AL,Colombia,4.3
2016-03-04,851234006364-AL,Colombia,4.3
2016-03-04,851234006364-AL,Colombia,2.15
2016-03-08,851234006364-AL,Colombia,2.15
2016-03-08,851234006364-AL,Colombia,2.15
2016-03-10,851234006364-AL,Colombia,2.15
2016-03-10,851234006364-AL,Colombia,10.75
2016-03-14,851234006364-AL,Colombia,6.449999999999999
2016-03-15,851234006364-AL,Colombia,4.3
2016-03-18,851234006364-AL,Colombia,4.3
2016-03-18,851234006364-AL,Colombia,6.449999999999999
2016-03-22,851234006364-AL,Colombia,4.3
2016-03-23,851234006194-AL,Colombia,1.94
2016-03-23,851234006364-AL,Colombia,6.449999999999999
2016-03-24,851234006364-AL,Colombia,2.15
2016-03-24,851234006364-AL,Colombia,2.15
2016-03-24,851234006364-AL,Colombia,2.15
2016-03-29,851234006364-AL,Colombia,2.15
2016-03-31,851234006364-AL,Colombia,4.3
2016-03-31,851234006364-AL,Colombia,4.3
2016-04-01,851234006364-AL,Colombia,6.449999999999999
2016-04-04,851234006364-AL,Colombia,8.6
2016-04-05,851234006364-AL,Colombia,4.3
2016-04-05,851234006364-AL,Colombia,2.15
2016-04-06,851234006364-AL,Colombia,4.3
2016-04-06,851234006364-AL,Colombia,2.15
2016-04-08,851234006364-AL,Colombia,2.15
2016-04-08,851234006194-AL,Colombia,7.76
2016-04-12,851234006364-AL,Colombia,6.449999999999999
2016-04-13,851234006364-AL,Colombia,2.15
2016-04-15,851234006194-AL,Colombia,1.94
2016-04-15,851234006364-AL,Colombia,6.449999999999999
2016-04-15,851234006364-AL,Colombia,6.449999999999999
2016-04-15,851234006364-AL,Colombia,4.3
2016-04-20,851234006364-AL,Colombia,10.75
2016-04-20,851234006364-AL,Colombia,2.15
2016-04-20,851234006364-AL,Colombia,4.3
2016-04-21,851234006364-AL,Colombia,2.15
2016-04-21,851234006364-AL,Colombia,2.15
2016-04-27,851234006364-AL,Colombia,2.15
2016-04-28,851234006364-AL,Colombia,2.15
2016-04-28,851234006194-AL,Colombia,1.94
2016-04-28,851234006364-AL,Colombia,2.15
2016-04-29,851234006364-AL,Colombia,2.15
2016-04-29,851234006364-AL,Colombia,2.15
2016-04-30,851234006194-AL,Colombia,11.64
2016-04-30,851234006364-AL,Colombia,4.3
2016-04-30,851234006364-AL,Colombia,4.3
2016-05-03,851234006364-AL,Colombia,2.15
2016-05-04,851234006364-AL,Colombia,4.3
2016-05-17,851234006364-AL,Colombia,2.15
2016-05-17,851234006364-AL,Colombia,2.15
2016-05-18,851234006364-AL,Colombia,2.15
2016-05-24,851234006364-AL,Colombia,10.75
2016-05-26,851234006364-AL,Colombia,12.899999999999999
2016-05-27,851234006364-AL,Colombia,4.3
2016-05-31,851234006364-AL,Colombia,6.449999999999999
2016-06-03,851234006364-AL,Colombia,2.15
2016-06-03,851234006364-AL,Colombia,4.3
2016-06-03,851234006364-AL,Colombia,2.15
2016-06-03,851234006364-AL,Colombia,4.3
2016-06-07,851234006364-AL,Colombia,2.15
2016-06-08,851234006364-AL,Colombia,2.15
2016-06-08,851234006364-AL,Colombia,2.15
2016-06-08,851234006364-AL,Colombia,4.3
2016-06-09,851234006364-AL,Colombia,2.15
2016-06-10,851234006364-AL,Colombia,2.15
2016-06-13,851234006364-AL,Colombia,6.449999999999999
2016-06-13,851234006364-AL,Colombia,2.15
2016-06-15,851234006364-AL,Colombia,4.3
2016-06-21,851234006364-AL,Colombia,6.449999999999999
2016-06-23,851234006364-AL,Colombia,2.15
2016-06-24,851234006364-AL,Colombia,4.3
2016-06-27,851234006364-AL,Colombia,4.3
2016-06-27,851234006364-AL,Colombia,2.15
2016-06-28,851234006194-AL,Colombia,9.7
2016-07-01,851234006194-AL,Colombia,1.94
2016-07-06,851234006364-AL,Colombia,2.15
2016-07-06,851234006364-AL,Colombia,4.3
2016-07-08,851234006364-AL,Colombia,2.15
2016-07-12,851234006364-AL,Colombia,2.15
2016-07-12,851234006364-AL,Colombia,4.3
2016-07-14,851234006364-AL,Colombia,4.3
2016-07-19,851234006364-AL,Colombia,2.15
2016-07-21,851234006364-AL,Colombia,2.15
2016-07-25,851234006364-AL,Colombia,2.15
2016-07-26,851234006364-AL,Colombia,2.15
2016-07-26,851234006364-AL,Colombia,4.3
2016-07-29,851234006364-AL,Colombia,2.15
2016-07-29,851234006194-AL,Colombia,40.74
2016-08-02,851234006364-AL,Colombia,4.3
2016-08-03,851234006364-AL,Colombia,4.3
2016-08-03,0851234006500-AL,Colombia,75.52
2016-08-03,0851234006500-AL,Costa Rica,75.52
2016-08-03,0851234006500-AL,Sumatra,75.52
2016-08-03,0851234006500-AL,Ethiopia,75.52
2016-08-05,0851234006170-AL,Sumatra,939.3299999999999
2016-08-05,0851234006163-AL,Ethiopia,939.3299999999999
2016-08-05,0851234006159-AL,Colombia,626.2199999999999
2016-08-05,0851234006187-AL,Costa Rica,939.3299999999999
2016-08-05,0851234006200-AL,DCF Colombia,626.2199999999999
2016-08-05,0851234006500-AL,Colombia,75.52
2016-08-05,0851234006500-AL,Costa Rica,75.52
2016-08-05,0851234006500-AL,Sumatra,75.52
2016-08-05,0851234006500-AL,Ethiopia,75.52
2016-08-05,0851234006408-AL,Colombia,3294
2016-08-09,851234006364-AL,Colombia,4.3
2016-08-09,0851234006163-AL,Ethiopia,2.13
2016-08-09,0851234006187-AL,Costa Rica,2.13
2016-08-09,0851234006159-AL,Colombia,2.13
2016-08-09,0851234006200-AL,DCF Colombia,2.13
2016-08-09,0851234006170-AL,Sumatra,2.13
2016-08-09,851234006364-AL,Colombia,4.3
2016-08-10,851234006364-AL,Colombia,2.15
2016-08-11,851234006364-AL,Colombia,2.15
2016-08-11,851234006364-AL,Colombia,2.15
2016-08-15,851234006364-AL,Colombia,4.3
2016-08-16,851234006364-AL,Colombia,2.15
2016-08-17,851234006364-AL,Colombia,6.449999999999999
2016-08-17,0851234006163-AL,Ethiopia,2.13
2016-08-17,0851234006159-AL,Colombia,2.13
2016-08-18,0851234006500-AL,Colombia,151.04
2016-08-18,0851234006500-AL,Costa Rica,151.04
2016-08-18,0851234006500-AL,Sumatra,151.04
2016-08-18,0851234006500-AL,Ethiopia,151.04
2016-08-18,851234006364-AL,Colombia,2.15
2016-08-23,851234006364-AL,Colombia,6.449999999999999
2016-08-25,851234006194-AL,Colombia,1.94
2016-08-25,851234006194-AL,Colombia,11.64
2016-08-26,851234006364-AL,Colombia,2.15
2016-08-26,851234006194-AL,Colombia,5.82
2016-08-29,851234006364-AL,Colombia,2.15
2016-08-31,0851234006187-AL,Costa Rica,244.95
2016-09-01,851234006194-AL,Colombia,1.94
2016-09-01,851234006364-AL,Colombia,12.899999999999999
2016-09-02,851234006364-AL,Colombia,2.15
2016-09-07,851234006364-AL,Colombia,4.3
2016-09-08,0851234006408-AL,Colombia,285.48
2016-09-08,0851234006163-AL,Ethiopia,149.1
2016-09-09,851234006364-AL,Colombia,6.449999999999999
2016-09-09,0851234006500-AL,Colombia,0.59
2016-09-09,0851234006500-AL,Costa Rica,0.59
2016-09-09,0851234006500-AL,Sumatra,0.59
2016-09-09,0851234006500-AL,Ethiopia,0.59
2016-09-12,851234006364-AL,Colombia,2.15
2016-09-14,851234006364-AL,Colombia,2.15
2016-09-14,0851234006187-AL,Costa Rica,2.13
2016-09-14,0851234006170-AL,Sumatra,2.13
2016-09-14,0851234006200-AL,DCF Colombia,2.13
2016-09-15,0851234006159-AL,Colombia,313.10999999999996
2016-09-15,0851234006187-AL,Costa Rica,313.10999999999996
2016-09-15,851234006194-AL,Colombia,7.76
2016-09-15,0851234006170-AL,Sumatra,6.39
2016-09-15,0851234006159-AL,Colombia,6.39
2016-09-15,0851234006200-AL,DCF Colombia,6.39
2016-09-15,0851234006163-AL,Ethiopia,8.52
2016-09-15,0851234006187-AL,Costa Rica,6.39
2016-09-15,0851234006159-AL,Colombia,4.26
2016-09-15,0851234006163-AL,Ethiopia,4.26
2016-09-15,0851234006170-AL,Sumatra,4.26
2016-09-15,0851234006187-AL,Costa Rica,4.26
2016-09-15,0851234006200-AL,DCF Colombia,4.26
2016-09-15,851234006194-AL,Colombia,1.94
2016-09-15,0851234006200-AL,DCF Colombia,10.649999999999999
2016-09-15,0851234006170-AL,Sumatra,10.649999999999999
2016-09-15,0851234006159-AL,Colombia,10.649999999999999
2016-09-15,0851234006163-AL,Ethiopia,8.52
2016-09-15,0851234006187-AL,Costa Rica,10.649999999999999
2016-09-15,851234006194-AL,Colombia,9.7
2016-09-16,0851234006187-AL,Costa Rica,313.10999999999996
2016-09-16,0851234006170-AL,Sumatra,313.10999999999996
2016-09-16,851234006364-AL,Colombia,2.15
2016-09-19,851234006194-AL,Colombia,3.88
2016-09-19,0851234006163-AL,Ethiopia,6.39
2016-09-19,0851234006159-AL,Colombia,6.39
2016-09-19,0851234006170-AL,Sumatra,6.39
2016-09-19,0851234006187-AL,Costa Rica,6.39
2016-09-21,851234006364-AL,Colombia,4.3
2016-09-21,0851234006187-AL,Costa Rica,2.13
2016-09-22,0851234006163-AL,Ethiopia,2.13
2016-09-22,851234006364-AL,Colombia,12.899999999999999
2016-09-22,0851234006163-AL,Ethiopia,313.10999999999996
2016-09-22,0851234006187-AL,Costa Rica,313.10999999999996
2016-09-27,0851234006408-AL,Colombia,109.80000000000001
2016-09-28,0851234006170-AL,Sumatra,2.13
2016-09-28,0851234006159-AL,Colombia,2.13
2016-09-28,0851234006200-AL,DCF Colombia,2.13
2016-09-28,0851234006187-AL,Costa Rica,2.13
2016-09-28,0851234006163-AL,Ethiopia,2.13
